Step,Similarity,Calc_time
0,0.8121164927836089,3.793619394302368
1,0.816017321044791,3.7491660118103027
2,0.7675830617227155,3.681708335876465
3,0.6150761671450156,3.770556926727295
4,0.6358389133898846,4.1447913646698
5,0.4877163959741162,4.18625283241272
6,0.6724444832467735,3.7182397842407227
7,0.5061773861073572,3.58381986618042
8,0.5889676733896841,3.6408743858337402
9,0.7786210642311064,3.3572850227355957
10,0.6831270459672598,3.320890188217163
11,0.6099971678778596,4.055662631988525
12,0.4928110025324165,3.5381062030792236
13,0.7143329379283392,3.564166784286499
14,0.8428813944330269,3.56636118888855
15,0.904793018106439,3.1983933448791504
16,0.7507843032241406,3.294894218444824
17,0.8206595655984913,3.663991689682007
18,0.8329695036978446,5.3646399974823
19,0.8160383202360608,4.176925182342529
20,0.8800144402906086,4.696907997131348
21,0.6123005578237657,5.141138076782227
22,0.628379150901307,5.303090810775757
23,0.6985538254041025,5.169090986251831
24,0.8251135645275262,5.157879114151001
25,0.8212595673681461,5.31926155090332
26,0.764787956767348,5.066477537155151
27,0.9068140005713531,5.428229093551636
28,0.7598254768460733,5.063398599624634
29,0.6386069547184581,5.2749083042144775
30,0.7057662659404058,5.0593421459198
31,0.6755229946245007,5.130575656890869
32,0.8193940628825315,5.221862077713013
33,0.7054364561221321,5.279175043106079
34,0.4994816244262988,5.049659013748169
35,0.8251567335738074,5.0943474769592285
36,0.9167510192757363,5.580066442489624
37,0.6792685733890711,5.09124493598938
38,0.6880045655251906,5.1974875926971436
39,0.6774575958879068,5.401116132736206
40,0.6621850256495345,5.1835901737213135
41,0.8448684440950237,5.035930156707764
42,0.6676007820425067,5.008252382278442
43,0.7165948789246676,5.042096853256226
44,0.7107793950924165,5.270525932312012
45,0.8845715156531561,5.100903034210205
46,0.7632852768465473,5.023882150650024
47,0.49461895910175746,5.252785921096802
48,0.5579297440040454,4.903040647506714
49,0.7748947099576223,5.755378484725952
