Step,Similarity,Calc_time
0,-0.1913785235640691,0.2834200859069824
1,-0.09004944015339962,0.41931962966918945
2,-0.7251178115057416,0.29160165786743164
3,-0.4605658648501858,0.271228551864624
4,-0.6897445323639967,0.26807308197021484
5,0.09987653162282616,0.28901195526123047
6,-0.5434479188485318,0.2391958236694336
7,-0.49615579012470484,0.3354043960571289
8,-0.4792143827875734,0.2876715660095215
9,0.37674764486931656,0.26596832275390625
10,0.17461426751668827,0.37608981132507324
11,0.47145291261576644,0.3100779056549072
12,0.9540227451444654,0.26845335960388184
13,0.5113838128528602,0.2701835632324219
14,0.745638065580243,0.3853261470794678
15,0.8696586215033623,0.33225107192993164
16,0.9552799384488513,0.3371756076812744
17,0.6582827559498827,0.36754274368286133
18,0.7511878588647273,0.3307015895843506
19,0.7959200990127206,0.337810754776001
20,0.7553145263489098,0.3567466735839844
21,0.5875537458696781,0.34712839126586914
22,0.10340850625404165,0.28899264335632324
23,0.12473341869801732,0.3143489360809326
24,-0.11366918910011224,0.3155093193054199
25,-0.4115244519110877,0.336169958114624
26,-0.7202677437898094,0.3198568820953369
27,-0.9260742908977329,0.28116393089294434
28,-0.6851933486192477,0.25814032554626465
29,-0.22538786843120823,0.25226259231567383
30,-0.3413363831207225,0.2657504081726074
31,-0.4456029222728329,0.30232977867126465
32,-0.22504562285735313,0.24076414108276367
33,0.8713052813452962,0.2522304058074951
34,0.5187897654376679,0.2703516483306885
35,0.7763985186955331,0.2784423828125
36,0.8920177822793501,0.33776307106018066
37,0.9151313281350122,0.26288628578186035
38,0.9974049432291531,0.23937273025512695
39,0.9500888118002118,0.293438196182251
40,0.29399430848391755,0.2603602409362793
41,0.28292851659762064,0.33814191818237305
42,-0.3688594888615514,0.25768232345581055
43,-0.3337403268627668,0.31464624404907227
44,-0.4007338278601959,0.2683985233306885
45,-0.2887824853198873,0.2846791744232178
46,-0.3660661874276007,0.2829775810241699
47,-0.1836884133432426,0.25699472427368164
48,-0.18914242132201922,0.25650644302368164
49,-0.6658508927344184,0.3069448471069336
