Step,Similarity,Calc_time
0,0.9975404493897548,0.0
1,0.9998742654485994,0.0
2,0.9994314313542171,0.0020956993103027344
3,0.9994652617194382,0.0
4,0.9998270576625723,0.0
5,0.9987058493661863,0.0
6,0.9996337036292636,0.0
7,0.9987967189434668,0.0010426044464111328
8,0.9902170975558452,0.0031418800354003906
9,0.9996646418868451,0.0
10,0.9998516658192851,0.0
11,0.9996084885940454,0.0
12,0.9996218827176683,0.0
13,0.9975338712278731,0.0
14,0.9984052540787711,0.0
15,0.9995807856275406,0.0
16,0.9997565521123655,0.0
17,0.999930624365266,0.0
18,0.9994003682743727,0.0
19,0.9993411781771017,0.0
20,0.9976208790995373,0.0019202232360839844
21,0.9993331998659695,0.0
22,0.9996457238307863,0.0020232200622558594
23,0.9985956950349015,0.0
24,0.9996941965186483,0.0
25,0.9972808053564529,0.0
26,0.9989965592411783,0.0
27,0.9998040868804831,0.0
28,0.9986176091014293,0.0
29,0.9980897787619388,0.0
30,0.9989082685330913,0.0
31,0.9977749508644705,0.0
32,0.9999763984560202,0.002081155776977539
33,0.9953498950115355,0.0
34,0.99934537528583,0.0
35,0.9996201996636581,0.0
36,0.9951766942224188,0.0
37,0.9995030569458644,0.0
38,0.9996394237632404,0.0
39,0.99963924931785,0.0
40,0.996341518079883,0.0
41,0.999677871299244,0.0
42,0.9999552361704473,0.0
43,0.9995507366560579,0.0
44,0.9995421925727219,0.0
45,0.999564961678829,0.0
46,0.9998118510677575,0.0
47,0.9999330542214625,0.0
48,0.9995812133602985,0.0
49,0.9997829609335215,0.0019397735595703125
50,0.9990403773028291,0.0
51,0.9988097565200978,0.0
52,0.9964545375442879,0.0
53,0.9993178319730859,0.0022666454315185547
54,0.9983884194553198,0.0
55,0.9998448981837611,0.001983165740966797
56,0.9995965513489768,0.0
57,0.999017299022216,0.0
58,0.9999711955114577,0.0
59,0.9987429955118032,0.0026807785034179688
60,0.9993954367415437,0.0
61,0.9952032046047711,0.001054525375366211
62,0.9997836694772574,0.0
63,0.9999573501628941,0.0020051002502441406
64,0.9996532438040346,0.0
65,0.999806270587516,0.001999378204345703
66,0.9993413735868825,0.0
67,0.9999750290029173,0.0
68,0.9993652976329874,0.0
69,0.9994342388221491,0.0
70,0.9913361362618812,0.0
71,0.9999217848368969,0.0
72,0.9998548406804937,0.0
73,0.9970272691494221,0.0
74,0.9998278216798083,0.0
75,0.9974809079752214,0.0
76,0.9978551840341281,0.0019779205322265625
77,0.9997796940670746,0.0
78,0.9999317977414804,0.0
79,0.999110562499368,0.0007660388946533203
80,0.9978634732916578,0.0
81,0.9996321085528804,0.0006058216094970703
82,0.9927661334462016,0.0011029243469238281
83,0.9996117133698065,0.0
84,0.99964089148305,0.0
85,0.9995122413430905,0.002422809600830078
86,0.9997536818152328,0.0008945465087890625
87,0.9996935608724441,0.0
88,0.998478891842483,0.0
89,0.9990042035306576,0.002068042755126953
90,0.9986469791247183,0.0012538433074951172
91,0.9977582910052714,0.0
92,0.9990655990439685,0.0
93,0.9996640916753069,0.0
94,0.9991029199183777,0.0
95,0.9997721627425286,0.00099945068359375
96,0.9999746469570828,0.0
97,0.9991441877593761,0.0
98,0.9991451005442843,0.002897024154663086
99,0.999618206964035,0.0
